STORE_TYPE,ZIP4,ZIP_CODE,RECORD_ID,STATE,LONGITUDE,STORE_STREET_ADDRESS,INCENTIVE_PROGRAM,Y,ADDITONAL_ADDRESS,CITY,STORE_NAME,LATITUDE,Ï»¿X,OBJECTID,GRANTEE_NAME,COUNTY
Super Store,4204,77082,268501.0,TX,-95.644768,3506 HIGHWAY 6 S,,3467691.28259125,,HOUSTON,Walmart SUPERCENTER  772,29.720642,-10647126.8708008,3486,,HARRIS
Other,1703,77017,272326.0,TX,-95.277527,2809 BROADWAY ST,,3465091.38615235,,HOUSTON,CARNICERIA AGUASCALIENTES,29.700357,-10606245.7896824,3735,,HARRIS
Pharmacy,3725,77022,236421.0,TX,-95.362106,747 E CROSSTIMBERS ST,,3481589.55419586,,HOUSTON,Walgreens 12015,29.82901,-10615661.0808942,3841,,HARRIS
Pharmacy,1855,77088,239557.0,TX,-95.429077,9375 VETERANS MEMORIAL DR,,3490328.44100402,,HOUSTON,Walgreens 5314,29.897089,-10623116.2585121,4294,,HARRIS
Pharmacy,3102,77035,239934.0,TX,-95.464203,10800 S POST OAK RD,,3460352.68409128,,HOUSTON,Walgreens 04316,29.663374,-10627026.4669457,4328,,HARRIS
Convenience Store,6320,77080,287650.0,TX,-95.54567,1959 GESSNER DR,,3478848.15885411,,HOUSTON,GET N SAVE,29.807644,-10636095.3319022,4383,,HARRIS
Discount Retail,    ,77029,287936.0,TX,-95.232483,11121 MARKET ST,,3473731.83827281,,JACINTO CITY,DOLLAR GENERAL  6550,29.767756,-10601231.5145391,4421,,HARRIS
Super Store,2000,77072,286138.0,TX,-95.579338,11205 BELLAIRE BLVD,,3465517.76648712,,HOUSTON,HONG KONG FOOD MARKET 4,29.703684,-10639843.2365182,4871,,HARRIS
Super Store,4646,77039,226635.0,TX,-95.340096,3910 ALDINE MAIL RD,,3491011.97357792,,HOUSTON,La Michoacana Meat Market 27,29.902412,-10613210.9389018,4910,,HARRIS
Super Store,3323,77086,226938.0,TX,-95.477859,12434 STATE HIGHWAY 249,,3492281.28629874,,HOUSTON,KROGER 366,29.912296,-10628546.645912,4934,,HARRIS
Discount Retail,4753,77099,230186.0,TX,-95.571114,11550 S WILCREST DR,,3459122.39033832,,HOUSTON,DOLLAR GENERAL  1654,29.65377,-10638927.7450259,5051,,HARRIS
Grocery Store,3868,77450,1600727.0,TX,-95.752594,920 S MASON RD,,3473671.82133786,Ste G,KATY,Southwest Farmers Market,29.767288,-10659130.0062151,5087,,HARRIS
Super Store,1198,77047,263811.0,TX,-95.356171,10510 CULLEN BLVD,,3458061.67008565,,HOUSTON,WATKINS CENTER,29.645489,-10615000.3997163,5544,,HARRIS
Super Store,1168,77433,227876.0,TX,-95.68557,18030 FM 529 RD,,3488319.53142446,,CYPRESS,KROGER CO  352,29.881443,-10651668.9286641,5695,,HARRIS
Super Store,1112,77037,275208.0,TX,-95.40522,11006 AIRLINE DR,,3492760.97136058,,HOUSTON,Fiesta Mart 28,29.916031,-10620460.5094202,5828,,HARRIS
Pharmacy,4824,77016,280044.0,TX,-95.302734,6610 TIDWELL RD,,3484026.97051437,,HOUSTON,Walgreens 2135,29.848003,-10609051.8200868,6009,,HARRIS
Super Store,5608,77070,307854.0,TX,-95.545937,8320 FM 1960 RD W,,3498612.78004672,,HOUSTON,Fiesta Mart 20,29.961584,-10636125.0542062,6048,,HARRIS
Pharmacy,4203,77018,308360.0,TX,-95.430298,1215 W 43RD ST,,3481491.13301778,,HOUSTON,Walgreens 6619,29.828243,-10623252.1796104,6088,,HARRIS
Discount Retail,3102,77090,308520.0,TX,-95.460075,2004 CYPRESS CREEK PKWY,,3504718.20321697,,HOUSTON,DOLLAR GENERAL 3114,30.009089,-10626566.9400877,6100,,HARRIS
Super Store,4902,77081,277936.0,TX,-95.491905,6200 BELLAIRE BLVD,,3465760.50329025,,HOUSTON,Fiesta Mart 7,29.705578,-10630110.2394797,6122,,HARRIS
Super Store,3564,77396,278022.0,TX,-95.215897,3820 ATASCOCITA RD,,3501004.22084298,,HUMBLE,KROGER  367,29.980194,-10599385.1694648,6129,,HARRIS
Super Store,6500,77546,249291.0,TX,-95.159126,150 W EL DORADO BLVD,,3446089.17424559,,FRIENDSWOOD,Walmart SUPERCENTER 1062,29.551973,-10593065.450653,6264,,HARRIS
Pharmacy,3205,77063,249393.0,TX,-95.536156,9600 WESTHEIMER RD,,3469821.44880499,,HOUSTON,Walgreens 6484,29.737259,-10635036.2382667,6275,,HARRIS
Super Store,4309,77030,249404.0,TX,-95.415314,7747 KIRBY DR,,3464427.04529919,,HOUSTON,KROGER 740,29.695173,-10621584.1683603,6280,,HARRIS
Super Store,3870,77571,278987.0,TX,-95.099785,9025 SPENCER HWY,,3460447.74082823,,LA PORTE,Walmart SUPERCENTER 5116,29.664116,-10586459.6407498,6355,,HARRIS
Supermarket,1270,77099,276306.0,TX,-95.598312,12385 BISSONNET ST,,3461957.21280112,,HOUSTON,La Michoacana Meat Market 28,29.675898,-10641955.4125365,6422,,HARRIS
Convenience Store,7105,77036,276378.0,TX,-95.55217,10239 CLUB CREEK DR,,3463434.69873392,,HOUSTON,IN N OUT MINI MART #2,29.687429,-10636818.9085923,6428,,HARRIS
Super Store,5929,77015,276503.0,TX,-95.177063,13750 EAST FWY,,3473768.77191061,,HOUSTON,Walmart  SUPERCENTER 1137,29.768044,-10595062.1883593,6438,,HARRIS
Pharmacy,4804,77081,310381.0,TX,-95.494583,6730 HILLCROFT ST,,3465919.1689968,,HOUSTON,Walgreens 1580,29.706816,-10630408.353076,6515,,HARRIS
Super Store,4809,77065,310442.0,TX,-95.603592,12400 FM 1960 RD W,,3493583.60570174,,HOUSTON,KROGER 737,29.922436,-10642543.1794479,6521,,HARRIS
Discount Retail,2801,77088,280496.0,TX,-95.475182,8105 ANTOINE DR,,3488885.47634957,,HOUSTON,DOLLAR GENERAL 8942,29.885851,-10628248.6436351,6601,,HARRIS
Super Store,2310,77023,277111.0,TX,-95.308998,800 S WAYSIDE DR,,3468920.60067537,,HOUSTON,Fiesta Mart 3,29.730232,-10609749.1253771,6616,,HARRIS
Supermarket,1602,77055,277155.0,TX,-95.484863,2030 WIRT RD,,3478984.91963183,,HOUSTON,La Michoacana Meat Market 4,29.80871,-10629326.3276255,6621,,HARRIS
Super Store,3958,77009,311200.0,TX,-95.367874,4114 FULTON ST,,3477524.63102826,,HOUSTON,Fiesta Mart 49,29.797327,-10616303.1717171,6823,,HARRIS
Super Store,    ,77015,279603.0,TX,-95.165123,5655 E SAM HOUSTON PKWY N,,3478636.9907602,,HOUSTON,Walmart 3500,29.805998,-10593733.0336392,6869,,HARRIS
Super Store,2610,77036,281200.0,TX,-95.540306,6036 S GESSNER DR,,3466892.60925938,,HOUSTON,La Michoacana Meat Market 10,29.714411,-10635498.2141535,6933,,HARRIS
Discount Retail,2832,77562,313755.0,TX,-95.057442,500 N MAIN ST,,3480606.4028878,,HIGHLANDS,DOLLAR GENERAL 7979,29.821348,-10581746.0395511,7172,,HARRIS
Grocery Store,4308,77338,294071.0,TX,-95.266991,15 W MAIN ST,,3503300.21995405,,HUMBLE,CARNIC. Y FRUT. CASE DEL PUEBLO,29.998058,-10605072.9275274,7617,,HARRIS
Supermarket,7502,77079,233035.0,TX,-95.606987,14610 MEMORIAL DR,,3474278.41565761,,HOUSTON,RANDALLS  1011,29.772018,-10642921.1091191,7674,,HARRIS
Super Store,4918,77055,291917.0,TX,-95.484978,1505 WIRT RD,,3477400.84190964,,HOUSTON,KROGER  346,29.796362,-10629339.1293669,7709,,HARRIS
Super Store,1823,77026,314880.0,TX,-95.317879,5815 LOCKWOOD DR,,3479472.57475909,,HOUSTON,Fiesta Mart 50,29.812511,-10610737.7537749,7758,,HARRIS
Discount Retail,1640,77520,294324.0,TX,-95.01181,4220 DECKER DR,,3473962.41876333,,BAYTOWN,DOLLAR GENERAL  2011,29.769554,-10576666.3085473,7775,,HARRIS
Convenience Store,3458,77504,233347.0,TX,-95.181068,4401 BURKE RD,,3457865.95681668,,PASADENA,EXPRESS MART #21,29.643961,-10595508.0229199,7840,,HARRIS
Pharmacy,3206,77042,295857.0,TX,-95.571327,11038 WESTHEIMER RD,,3469837.34593747,,HOUSTON,Walgreens 7251,29.737383,-10638951.4560774,8012,,HARRIS
Pharmacy,4016,77011,296184.0,TX,-95.329506,4516 HARRISBURG BLVD,,3470577.09714524,,HOUSTON,CVS/ PHARMACY 6241,29.743153,-10612032.0654943,8055,,HARRIS
Super Store,3134,77379,332483.0,TX,-95.552773,8745 SPRING CYPRESS RD,,3507754.97374093,,SPRING,KROGER 738,30.032709,-10636886.0342453,8187,,HARRIS
