TAXPAYER_NUMBER,TAXPAYER_NAME,TAXPAYER_ADDRESS,TAXPAYER_CITY,TAXPAYER_STATE,TAXPAYER_ZIP_CODE,TAXPAYER_COUNTY_CODE,TAXPAYER_ORGANIZATION_TYPE,OUTLET_NUMBER,OUTLET_NAME,OUTLET_ADDRESS,OUTLET_CITY,OUTLET_STATE,OUTLET_ZIP_CODE,OUTLET_COUNTY_CODE,OUTLET_NAICS_CODE,OUTLET_INSIDE/OUTSIDE_CITY_LIMITS_INDICATOR,OUTLET_PERMIT_ISSUE_DATE,OUTLET_FIRST_SALES_DATE,ID,Latitude,Longitude,Match_Status,Match_Type
17527673150,"ORTEGA INVESTMENTS, INC.",2727 LYNDON B JOHNSON FWY STE 927,FARMERS BRNCH,TX,75234,57,CT,3,LA AZTECA MEAT MARKET #2,3046 FOREST LN STE B,DALLAS,TX,75234,57.0,445210.0,Y,04/02/2007,04/05/2007,0,32.909523384707,-96.875627017026,Match,Non_Exact
32050333254,"WINCO FOODS, LLC",PO BOX 5756 ATTN: KIRBY SANDBERG,BOISE,ID,83705,0,CI,6,WINCO FOODS,1122 W CENTERVILLE RD,GARLAND,TX,75041,57.0,445110.0,Y,11/24/2014,02/03/2015,1,,,No_Match,
32085465873,JMSY FAMILY INC,2332 BELLA CT,CARROLLTON,TX,75010,61,CT,1,DONUT HOUSE,6421 RIVERSIDE DR STE 110,IRVING,TX,75039,57.0,445291.0,Y,07/21/2022,08/01/2022,2,32.897319553596,-96.939050248351,Match,Exact
32059446701,JOSEFINA SANCHEZ,1639 S BUCKNER BLVD,DALLAS,TX,75217,57,IS,1,DULCERIA EMMANUEL,1639 S BUCKNER BLVD,DALLAS,TX,75217,57.0,445292.0,Y,02/01/2016,01/01/2016,3,32.740362487008,-96.683041428861,Match,Non_Exact
32044349556,KIM & KU INC.,11445 EMERALD ST STE 112,DALLAS,TX,75229,57,CT,3,SK DONUTS,5181 KELLER SPRINGS RD STE 103,DALLAS,TX,75248,57.0,445291.0,Y,05/02/2019,05/15/2019,4,,,No_Match,
32063121290,BLIS LLC,1900 S JOSEY LN,CARROLLTON,TX,75006,57,CL,1,POSCO BEER & WINE,1900 S JOSEY LN,CARROLLTON,TX,75006,57.0,445120.0,Y,04/05/2017,05/15/2017,5,32.96467488744,-96.889922895209,Match,Non_Exact
32054847713,"HOODKIN ENTERPRISES, INC.",8424 PRESTON RD,DALLAS,TX,75225,57,CT,1,LAVON CHEVRON,3310 LAVON DR,GARLAND,TX,75040,57.0,445120.0,Y,03/20/2015,04/01/2015,6,,,No_Match,
32040748454,"SHAYONA VEGETARIAN, LLC",81 SUTTONS LN,PISCATAWAY,NJ,08854,0,CL,8,BAPS SHAYONA,4601 N STATE HIGHWAY 161,IRVING,TX,75038,57.0,445299.0,Y,08/09/2010,07/01/2010,7,,,No_Match,
32068166191,AFSA ENTERPRISES INC,1600 MARSH LN STE 100,CARROLLTON,TX,75006,57,CT,1,ONE STOP FOOD STORE,1600 MARSH LN STE 100,CARROLLTON,TX,75006,57.0,445120.0,Y,10/18/2018,10/15/2018,8,,,No_Match,
32069866518,MARIA ANDREE BOUTIQUE BAKERY LLC,6906 SNIDER PLZ,DALLAS,TX,75205,57,CL,1,MARIA ANDREE BOUTIQUE BAKERY,6906 SNIDER PLZ,DALLAS,TX,75205,57.0,445291.0,Y,12/15/2020,12/18/2020,9,32.849445592542,-96.787728484408,Match,Exact
32063533080,TEAM BAILEY LLC,7720 WINDSOR DR,ALLENTOWN,PA,18106,0,CL,9,DOMINO'S #6971,2615 OAK LAWN AVE STE 110,DALLAS,TX,75219,57.0,445299.0,Y,12/13/2017,01/08/2018,10,32.805478942931,-96.812826299989,Match,Exact
17418740332,"FIESTA MART, L.L.C.",600 CITADEL DR,COMMERCE,CA,90040,0,CL,64,FIESTA MART #40,5334 ROSS AVE,DALLAS,TX,75206,57.0,445110.0,Y,03/26/1996,03/26/1996,11,32.809707500376,-96.771919018348,Match,Exact
14312832968,"MORAN FOODS, LLC",400 NORTHWEST PLAZA DR,SAINT ANN,MO,63074,0,CI,82,SAVE-A-LOT #757,2233 N PRAIRIE CREEK RD,DALLAS,TX,75227,57.0,445110.0,Y,12/22/2010,01/06/2011,12,32.750592964147,-96.665240874123,Match,Exact
17427437011,SPEC'S FAMILY CORP.,2410 SMITH ST,HOUSTON,TX,77006,101,CT,93,"SPEC'S WINES, SPIRITS & FINER FOODS, #218, SFP DIS",4136 S CARRIER PKWY STE 350,GRAND PRAIRIE,TX,75052,57.0,445310.0,Y,01/27/2023,02/01/2023,13,32.671300056949,-97.005781666182,Match,Exact
32097165180,ONHAND VENDING LLC,757 LAKE CAROLYN PKWY APT 1235,IRVING,TX,75039,57,CL,1,ONHAND VENDING LLC,757 LAKE CAROLYN PKWY APT 1235,IRVING,TX,75039,57.0,445120.0,Y,10/22/2024,10/25/2024,14,32.864310710255,-96.92903041087,Match,Exact
17606039679,"RANDALL'S BEVERAGE COMPANY, INC.",PO BOX 29096,PHOENIX,AZ,85038,0,CT,139,TOM THUMB #1783,2645 ARAPAHO ROAD,GARLAND,TX,75044,57.0,445110.0,Y,05/10/2005,06/01/2005,15,32.959649205707,-96.66480715366,Match,Exact
32051781550,RMB CAPITAL HOLDING INC,4928 COLUMBIA AVE,DALLAS,TX,75214,57,CT,1,JOHNNYS LIQUOR #3,4928 COLUMBIA AVE,DALLAS,TX,75214,57.0,445310.0,Y,09/09/2013,09/20/2013,16,32.795368553184,-96.763188753689,Match,Exact
17430997936,TEXAS HALA CORP.,3901 W NORTHGATE DR,IRVING,TX,75062,57,CT,1,ZAM ZAM SUPERMARKET,3901 W NORTHGATE DR,IRVING,TX,75062,57.0,445110.0,Y,02/02/2006,02/10/2006,17,32.857144162513,-97.001659392401,Match,Exact
32086530287,MAMA TECHNOLOGIES INC,8187 NW 74TH AVE,MEDLEY,FL,33166,0,CF,1,MAMA TECHNOLOGIES INC,4653 NALL RD STE F2,FARMERS BRANCH,TX,75244,57.0,445299.0,Y,07/24/2023,10/03/2022,18,32.935700293658,-96.828846329583,Match,Exact
32063533080,TEAM BAILEY LLC,7720 WINDSOR DR,ALLENTOWN,PA,18106,0,CL,2,DOMINO'S #6564,4880 SUNNYVALE ST,DALLAS,TX,75216,57.0,445299.0,Y,12/13/2017,01/08/2018,19,32.695615378493,-96.772638065062,Match,Exact
32063533080,TEAM BAILEY LLC,7720 WINDSOR DR,ALLENTOWN,PA,18106,0,CL,18,DOMINO'S #6918,10909 WEBB CHAPEL RD STE 118,DALLAS,TX,75229,57.0,445299.0,Y,12/13/2017,01/08/2018,20,,,No_Match,
32063533080,TEAM BAILEY LLC,7720 WINDSOR DR,ALLENTOWN,PA,18106,0,CL,12,DOMINO'S #6975,222 N STORY RD STE 118,IRVING,TX,75061,57.0,445299.0,Y,12/13/2017,01/08/2018,21,32.816543194923,-96.97632744756,Match,Exact
32020855790,"RICHLAND MARKET GROCERY, INC.",9410 WALNUT ST STE 102,DALLAS,TX,75243,57,CT,1,RICHLAND MARKET GROCERY INC,9410 WALNUT ST STE 102,DALLAS,TX,75243,57.0,445120.0,Y,10/27/2006,10/01/2006,22,32.923353592746,-96.736977667789,Match,Exact
32063533080,TEAM BAILEY LLC,7720 WINDSOR DR,ALLENTOWN,PA,18106,0,CL,13,DOMINO'S #6983,2220 MARSH LN STE 100,CARROLLTON,TX,75006,57.0,445299.0,Y,12/13/2017,01/08/2018,23,32.969806885481,-96.854551845869,Match,Exact
32061904648,HIWOT TEGEN,1437 S JUPITER RD,GARLAND,TX,75042,57,IS,1,HIWOT INJERA,1437 S JUPITER RD,GARLAND,TX,75042,57.0,445230.0,Y,01/25/2024,11/01/2016,24,32.89974727066,-96.683132833685,Match,Exact
