ZIP_CODE,COUNTY,Y,STORE_TYPE,CITY,Ï»¿X,LATITUDE,ADDITONAL_ADDRESS,INCENTIVE_PROGRAM,GRANTEE_NAME,STORE_NAME,STATE,OBJECTID,STORE_STREET_ADDRESS,RECORD_ID,ZIP4,LONGITUDE
75040,DALLAS,3890774.12173825,Super Store,GARLAND,-10758670.5590485,32.965866,,,,Target 1489,TX,3541.0,5301 N GARLAND AVE,267426.0,2716,-96.646782
75038,DALLAS,3876745.68862872,Supermarket,IRVING,-10793256.6342821,32.860073,,,,TOM THUMB  3621,TX,3863.0,4010 N MACARTHUR BLVD,236670.0,6413,-96.957474
75211,DALLAS,3859345.89827388,Super Store,DALLAS,-10785917.0062956,32.72868,,,,Walmart SUPERCENTER 5147,TX,4084.0,1521 S COCKRELL HILL RD,287398.0,    ,-96.891541
75214,DALLAS,3868917.48131535,Supermarket,DALLAS,-10770902.1220579,32.800983,,,,SUPER MERCADO MEXICO # 4,TX,4265.0,5535 COLUMBIA AVE,239168.0,5123,-96.75666
75041,DALLAS,3879474.39900819,Super Store,GARLAND,-10756804.6217438,32.880661,,,,Fiesta Mart 54,TX,4517.0,2940 S 1ST ST,284355.0,3437,-96.63002
75209,DALLAS,3872642.94710497,Pharmacy,DALLAS,-10778675.784739,32.829109,,,,CVS/PHARMACY 7742,TX,4740.0,5659 LEMMON AVE,226361.0,6225,-96.826492
75019,DALLAS,3891422.55643974,Super Store,COPPELL,-10793647.2543753,32.970753,,,,KROGER 448,TX,4858.0,950 E SANDY LAKE RD,286040.0,3109,-96.960983
75040,DALLAS,3887285.7684564,Pharmacy,GARLAND,-10755906.9413701,32.939571,,,,Walgreens 4340,TX,5154.0,2614 LAVON DR,258650.0,8762,-96.621956
75149,DALLAS,3861649.42126825,Supermarket,MESQUITE,-10751933.9487437,32.746086,,,,TOM THUMB  1784,TX,5456.0,1501 PIONEER RD,231026.0,6032,-96.586266
75217,DALLAS,3860075.31178121,Supermarket,DALLAS,-10763170.0928664,32.734192,,,,SUPER MERCADO MEXICO # 3,TX,5809.0,7828 LAKE JUNE RD,228350.0,1601,-96.687202
75203,DALLAS,3860655.88412424,Grocery Store,DALLAS,-10774528.688429,32.738579,,,,KIEST MARKET,TX,6095.0,3807 E KIEST BLVD,308464.0,4122,-96.789238
75208,DALLAS,3861258.71970745,Supermarket,DALLAS,-10779252.5310208,32.743134,,,,JERRYS SUPERMARKET #3,TX,6152.0,532 W JEFFERSON BLVD,278236.0,4722,-96.831673
75205,DALLAS,3875481.48250046,Supermarket,DALLAS,-10774374.0656563,32.850533,,,,TOM THUMB 1973,TX,6244.0,7000 SNIDER PLZ,309801.0,1335,-96.787849
75150,DALLAS,3873278.19274144,Convenience Store,MESQUITE,-10757341.4043284,32.833904,,,,SWIFT T # 11,TX,6392.0,2333 OATES DR,276041.0,1149,-96.634842
75206,DALLAS,3870044.16264033,Super Store,DALLAS,-10772442.7838105,32.80949,,,,Fiesta Mart 40,TX,6564.0,5334 ROSS AVE,280346.0,7453,-96.7705
75042,DALLAS,3886050.79915829,Pharmacy,GARLAND,-10762702.2170466,32.93026,,,,Walgreens 04267,TX,6576.0,1902 N JUPITER RD,277000.0,4744,-96.682999
75088,DALLAS,3883152.0300409,Super Store,ROWLETT,-10751048.0682359,32.908401,,,,Walmart 3225,TX,6755.0,2501 LAKEVIEW PKWY,309499.0,    ,-96.578308
75228,DALLAS,3867733.9661873,Pharmacy,DALLAS,-10764511.158772,32.792046,,,,CVS/ PHARMACY 6966,TX,7234.0,6004 SAMUELL BLVD,293198.0,7115,-96.699249
75211,DALLAS,3860051.09431714,Pharmacy,DALLAS,-10783983.052782,32.734009,,,,WALGREENS  3956,TX,7280.0,1104 S WESTMORELAND RD,312681.0,5651,-96.874168
75220,DALLAS,3878092.07188439,Convenience Store,DALLAS,-10784108.8438066,32.870232,Ste 1,,,STOP N BUY,TX,7295.0,9750 BROCKBANK DR,232663.0,2998,-96.875298
75006,DALLAS,3891940.32154944,Supermarket,CARROLLTON,-10785493.9922306,32.974655,,,,Albertsons 0269,TX,7326.0,2150 N JOSEY LN,312393.0,2991,-96.887741
75219,DALLAS,3871558.00832788,Super Store,DALLAS,-10777401.0652499,32.820919,,,,Whole Foods Market 10140,TX,7485.0,4100 LOMO ALTO DR,315515.0,1535,-96.815041
75043,DALLAS,3877467.16865589,Super Store,GARLAND,-10754170.9139112,32.865517,,,,Walmart SUPERCENTER 2975,TX,7578.0,3959 BROADWAY BLVD,291608.0,2586,-96.606361
75062,DALLAS,3873639.61578842,Super Store,IRVING,-10798726.0948232,32.836632,,,,Walmart SUPERCENTER 880,TX,7720.0,4100 W AIRPORT FWY,233120.0,5913,-97.006607
75220,DALLAS,3877686.51054326,Super Store,DALLAS,-10783076.912127,32.867172,,,,Fiesta Mart 32,TX,7933.0,9727 WEBB CHAPEL RD,380409.0,3555,-96.866028
75060,DALLAS,3870156.8764387,Discount Retail,IRVING,-10790697.6218277,32.810341,,,,DOLLAR GENERAL 7170,TX,7940.0,400 S NURSERY RD,380478.0,3124,-96.934486
75081,DALLAS,3886185.81578491,Supermarket,RICHARDSON,-10762808.3045213,32.931278,,,,Albertsons 4260,TX,7950.0,2165 BUCKINGHAM RD,380578.0,5477,-96.683952
75243,DALLAS,3881525.98797633,Supermarket,DALLAS,-10766871.3546158,32.896137,,,,TOM THUMB  3560,TX,8109.0,8698 SKILLMAN ST,296764.0,8265,-96.720451
75042,DALLAS,3884020.16672407,Super Store,GARLAND,-10759036.5775342,32.914948,,,,KROGER 559,TX,8174.0,1406 W WALNUT ST,332357.0,5841,-96.65007
75051,DALLAS,3856834.31888332,Pharmacy,GRAND PRAIRIE,-10799809.7900661,32.709698,,,,CVS/ PHARMACY INC 7421,TX,8300.0,810 W PIONEER PKWY,272719.0,4708,-97.016342
75243,DALLAS,3883479.41359099,Super Store,DALLAS,-10768915.6257447,32.91087,,,,Walmart Supercenter 2427,TX,8499.0,9301 FOREST LANE,297044.0,    ,-96.738815
75240,DALLAS,3887292.40058322,Supermarket,DALLAS,-10770430.0160974,32.939621,Ste C,,,La Michoacana Meat Market 02,TX,8638.0,8702 SPRING VALLEY RD,297107.0,4232,-96.752419
75211,DALLAS,3862321.00291502,Super Store,DALLAS,-10784096.0420652,32.75116,,,,La Michoacana Meat Market 07,TX,8787.0,833 N WESTMORELAND RD,274004.0,2524,-96.875183
75052,DALLAS,3851748.22797765,Supermarket,GRAND PRAIRIE,-10798363.4159222,32.671246,,,,TOM THUMB  1786,TX,8874.0,4215 S CARRIER PKWY,297668.0,3203,-97.003349
75115,DALLAS,3842761.52167972,Supermarket,DESOTO,-10781939.672209,32.603264,,,,TOM THUMB  3623,TX,8958.0,210 E PLEASANT RUN RD,381996.0,3938,-96.855812
75150,DALLAS,3868039.07048987,Discount Retail,MESQUITE,-10754615.1899989,32.79435,Ste 124,,,DOLLAR GENERAL 8993,TX,9048.0,2110 N GALLOWAY AVE,383772.0,5738,-96.610352
75224,DALLAS,3858248.55467848,Pharmacy,DALLAS,-10782017.8184916,32.720387,,,,CVS/ PHARMACY INC 6781,TX,9073.0,2323 W ILLINOIS AVE,355882.0,1637,-96.856514
75006,DALLAS,3889005.33922027,Discount Retail,CARROLLTON,-10785764.9438712,32.952534,Ste 412,,,DOLLAR GENERAL 2939,TX,9262.0,1103 S JOSEY LN,355326.0,7664,-96.890175
75081,DALLAS,3887621.35877912,Super Store,RICHARDSON,-10768993.7720272,32.942101,,,,SARAS MEDITERRANEAN FOOD,TX,9429.0,750 S SHERMAN ST,290356.0,4028,-96.739517
75137,DALLAS,3847763.5017876,Supermarket,DUNCANVILLE,-10787791.4038816,32.641109,,,,COX FARMS MARKET,TX,9885.0,1026 S MAIN ST,349235.0,2320,-96.908379
75116,DALLAS,3848721.71257771,Supermarket,DUNCANVILLE,-10789396.5196193,32.648357,,,,TOM THUMB  3563,TX,10687.0,633 W WHEATLAND RD,351871.0,4517,-96.922798
75080,DALLAS,3890313.06097585,Supermarket,RICHARDSON,-10770074.9069218,32.962391,,,,TOM THUMB  2526,TX,10823.0,39 ARAPAHO VILLAGE,437147.0,    ,-96.749229
75044,DALLAS,3890267.95096871,Discount Retail,GARLAND,-10762517.8719698,32.962051,,,,DOLLAR GENERAL 1220,TX,10892.0,5112 N JUPITER RD,452230.0,5466,-96.681343
75181,DALLAS,3855766.44433536,Convenience Store,MESQUITE,-10750320.2614051,32.701626,,,,QuikTrip 1922,TX,10999.0,5065 LAWSON RD,1594593.0,    ,-96.57177
75230,DALLAS,3883482.3307799,Supermarket,DALLAS,-10775993.7642473,32.910892,,,,TOM THUMB  3597,TX,11049.0,11920 PRESTON RD,317988.0,2711,-96.802399
75052,DALLAS,3852307.6278072,Super Store,GRAND PRAIRIE,-10801959.3694333,32.675476,,,,Walmart STORE 896,TX,11302.0,2225 W INTERSTATE 20,342686.0,3926,-97.035652
75019,DALLAS,3891398.27432187,Supermarket,COPPELL,-10797100.4962992,32.97057,,,,TOM THUMB  1781,TX,11480.0,106 N DENTON TAP RD,339842.0,2138,-96.992004
75206,DALLAS,3875559.26568238,Supermarket,DALLAS,-10772048.7128131,32.85112,,,,TOM THUMB  2642,TX,11564.0,5809 E LOVERS LN,342875.0,4324,-96.76696
75149,DALLAS,3861630.23000173,Supermarket,MESQUITE,-10751630.7144508,32.745941,,,,TOM THUMB  4606,TX,11783.0,1509 PIONEER RD,256065.0,    ,-96.583542
75104,DALLAS,3841271.57954567,Supermarket,CEDAR HILL,-10790961.7829794,32.591988,,,,ALBERTSONS 4133,TX,12693.0,427 E FM 1382,339383.0,6027,-96.936859
