ADDITONAL_ADDRESS,STATE,COUNTY,LONGITUDE,STORE_NAME,STORE_TYPE,ZIP4,Ï»¿X,GRANTEE_NAME,RECORD_ID,INCENTIVE_PROGRAM,Y,OBJECTID,STORE_STREET_ADDRESS,LATITUDE,ZIP_CODE,CITY,CUISINE_TYPE,CATEGORY,SUBCATEGORY,SUB_SUBCATEGORY
Ste 221,TX,DALLAS,-96.684555,NEW TRUONG NGUYEN MARKET,Super Store,4016,-10762875.4301743,,244478.0,,3884489.99772677,2928.0,3555 W WALNUT ST,32.918491,75042,GARLAND,Vietnamese,Asia,South Eastern Asia,Vietnam
,TX,DALLAS,-97.016747,DOLLAR GENERAL 4515,Discount Retail,5428,-10799854.8744598,,244599.0,,3861697.86281094,2939.0,508 N CARRIER PKWY,32.746452,75050,GRAND PRAIRIE,Uncategorized,,,
,TX,DALLAS,-96.934326,Target T 1836,Super Store,2142,-10790679.8107092,,245243.0,,3842590.66299662,2992.0,739 N HIGHWAY 67,32.601971,75104,CEDAR HILL,Uncategorized,,,
,TX,DALLAS,-96.942078,DOLLAR GENERAL 8497,Discount Retail,3602,-10791542.7594018,,248319.0,,3846443.44504903,3058.0,1546 S CLARK RD,32.631123,75137,DUNCANVILLE,Uncategorized,,,
,TX,DALLAS,-96.963562,WALGREENS  3847,Pharmacy,3101,-10793934.347342,,269550.0,,3879529.01149278,3260.0,5310 N MACARTHUR BLVD,32.881073,75038,IRVING,Uncategorized,,,
,TX,DALLAS,-96.646782,Target 1489,Super Store,2716,-10758670.5590485,,267426.0,,3890774.12173825,3541.0,5301 N GARLAND AVE,32.965866,75040,GARLAND,Uncategorized,,,
,TX,DALLAS,-96.957474,TOM THUMB  3621,Supermarket,6413,-10793256.6342821,,236670.0,,3876745.68862872,3863.0,4010 N MACARTHUR BLVD,32.860073,75038,IRVING,General Retail/Food/Other,,,
,TX,DALLAS,-96.891541,Walmart SUPERCENTER 5147,Super Store,    ,-10785917.0062956,,287398.0,,3859345.89827388,4084.0,1521 S COCKRELL HILL RD,32.72868,75211,DALLAS,Uncategorized,,,
,TX,DALLAS,-96.75666,SUPER MERCADO MEXICO # 4,Supermarket,5123,-10770902.1220579,,239168.0,,3868917.48131535,4265.0,5535 COLUMBIA AVE,32.800983,75214,DALLAS,Mexican,Americas,Latin America - Central America,Mexico
,TX,DALLAS,-96.63002,Fiesta Mart 54,Super Store,3437,-10756804.6217438,,284355.0,,3879474.39900819,4517.0,2940 S 1ST ST,32.880661,75041,GARLAND,Mexican,Americas,Latin America - Central America,Mexico
,TX,DALLAS,-96.826492,CVS/PHARMACY 7742,Pharmacy,6225,-10778675.784739,,226361.0,,3872642.94710497,4740.0,5659 LEMMON AVE,32.829109,75209,DALLAS,Uncategorized,,,
,TX,DALLAS,-96.960983,KROGER 448,Super Store,3109,-10793647.2543753,,286040.0,,3891422.55643974,4858.0,950 E SANDY LAKE RD,32.970753,75019,COPPELL,Uncategorized,,,
,TX,DALLAS,-96.621956,Walgreens 4340,Pharmacy,8762,-10755906.9413701,,258650.0,,3887285.7684564,5154.0,2614 LAVON DR,32.939571,75040,GARLAND,Uncategorized,,,
