TAXPAYER_NUMBER,TAXPAYER_NAME,TAXPAYER_ADDRESS,TAXPAYER_CITY,TAXPAYER_STATE,TAXPAYER_ZIP_CODE,TAXPAYER_COUNTY_CODE,TAXPAYER_ORGANIZATION_TYPE,OUTLET_NUMBER,OUTLET_NAME,OUTLET_ADDRESS,OUTLET_CITY,OUTLET_STATE,OUTLET_ZIP_CODE,OUTLET_COUNTY_CODE,OUTLET_NAICS_CODE,OUTLET_INSIDE/OUTSIDE_CITY_LIMITS_INDICATOR,OUTLET_PERMIT_ISSUE_DATE,OUTLET_FIRST_SALES_DATE,ID,Latitude,Longitude,Match_Status,Match_Type
18201844349,ALBERTSON'S LLC,PO BOX 29096,PHOENIX,AZ,85038,0,CI,421,ALBERTSONS #4231,215 N CARRIER PKWY,GRAND PRAIRIE,TX,75050,57.0,445110.0,Y,04/10/2001,06/19/2001,1223,32.74336792198,-97.016293217332,Match,Exact
17106365988,QUALITY LICENSING CORP.,508 SW 8TH ST,BENTONVILLE,AR,72712,0,CT,446,QUALITY LINCENSING CORP STORE #2427,9301 FOREST LN,DALLAS,TX,75243,57.0,445310.0,Y,10/26/2010,11/01/2010,1224,32.909307059031,-96.741346676355,Match,Exact
32066059422,BLUEBONNET SPIRITS LLC.,3393 VINEYARD TRL,HARKER HTS,TX,76548,14,CL,2,LIQUOR STOP,5477 N MACARTHUR BLVD,IRVING,TX,75038,57.0,445310.0,Y,09/30/2019,11/01/2019,1225,32.88426829889,-96.964266289284,Match,Exact
32042782188,EDWIN MALDONADO,3511 REGENT BLVD # 110,IRVING,TX,75063,57,IS,1,JUICE MARKET C ORGANIC,3511 REGENT BLVD # 110,IRVING,TX,75063,57.0,445120.0,Y,01/27/2022,02/01/2022,1226,,,No_Match,
32053200153,MIKAEEL1 INCORPORATED,504 W ARAPAHO RD,RICHARDSON,TX,75080,57,CT,1,EZ SHOP #8,504 W ARAPAHO RD,RICHARDSON,TX,75080,57.0,445120.0,Y,08/25/2014,09/15/2014,1227,32.96108151047,-96.735023696679,Match,Exact
17419316645,GOOD SPIRITS LLC,PO BOX 29096,PHOENIX,AZ,85038,0,CL,328,GOOD SPIRITS LLC,427 E FM 1382,CEDAR HILL,TX,75104,57.0,445310.0,Y,11/08/2012,12/15/2012,1228,32.593010142819,-96.93776563355,Match,Exact
32076526022,KRISHNA ILUM INC,9604 YERBA MANSA LN,FORT WORTH,TX,76177,220,CT,1,MY STORE,10810 FERGUSON RD,DALLAS,TX,75228,57.0,445120.0,Y,01/28/2022,12/01/2020,1229,,,No_Match,
32067791510,CHARISMA GROUP LLC,405 STATE HIGHWAY 121 BYP STE C140,LEWISVILLE,TX,75067,61,CL,2,ORALE LIQUOR STORE,9702 BROCKBANK DR STE 100,DALLAS,TX,75220,57.0,445310.0,Y,07/26/2018,08/01/2018,1230,32.869253112829,-96.875274426841,Match,Exact
32014355781,MAYA FOODS INC.,11411 HILLGUARD RD,DALLAS,TX,75243,57,CT,1,EL RIO GRANDE LATIN MARKET #1,5308 MAPLE AVE,DALLAS,TX,75235,57.0,445110.0,Y,12/21/2004,02/15/2005,1231,32.817405958402,-96.831595449476,Match,Exact
32057383351,"LP RETAILS, LLC.",6605 DALROCK RD,ROWLETT,TX,75089,57,CL,1,ROWLETT LIQUOR,6605 DALROCK RD,ROWLETT,TX,75089,57.0,445310.0,Y,06/02/2015,12/01/2015,1232,32.919006696144,-96.51792537059,Match,Exact
32085521527,"JAMI REDDY VENTURES, LLC",1701 S BELT LINE RD # 110,GRAND PRAIRIE,TX,75051,57,CL,1,MY LIQUOR STOP,1701 S BELT LINE RD # 110,GRAND PRAIRIE,TX,75051,57.0,445310.0,Y,08/11/2022,09/01/2022,1233,32.722614190137,-96.994163274459,Match,Exact
12032324597,EBENEZER ABOAH AND JACOB OPOKU,901 E PLANO PKWY STE 101,PLANO,TX,75074,43,PI,2,AFRIBBEAN MARKET,2717 E BELT LINE RD,CARROLLTON,TX,75006,57.0,445110.0,Y,01/27/2021,01/01/2021,1234,32.953338653597,-96.859781662918,Match,Non_Exact
17508732769,RANDALL'S FOOD & DRUGS LP,PO BOX 29096 C/O MS 6531,PHOENIX,AZ,85038,0,PF,230,TOM THUMB #3569,3878 OAK LAWN AVE,DALLAS,TX,75219,57.0,445110.0,Y,08/15/2016,10/31/2016,1235,32.81587243612,-96.802254104547,Match,Exact
32041274039,"ZAKTI, LLC",1300 S POLK ST STE 252,DALLAS,TX,75224,57,CL,3,"ZAKTI, LLC",1300 S POLK ST STE 252,DALLAS,TX,75224,57.0,445299.0,Y,04/01/2019,04/01/2019,1236,32.732724375254,-96.839970043475,Match,Exact
32053299056,GS DALLAS WEST LLC,3020 COMMUNICATIONS PKWY STE 100,PLANO,TX,75093,43,CL,1,SUBWAY 43100,12800 ABRAMS RD,DALLAS,TX,75243,57.0,445299.0,Y,04/15/2014,04/09/2014,1237,,,No_Match,
17419316645,GOOD SPIRITS LLC,PO BOX 29096,PHOENIX,AZ,85038,0,CL,325,GOOD SPIRITS LLC #4187,1500 S BELT LINE RD,MESQUITE,TX,75149,57.0,445310.0,Y,05/16/2011,06/15/2011,1238,32.745776275042,-96.596916059237,Match,Exact
32050488827,"DALLAS SUPERSTORE, INC.",8450 GARVEY AVE STE 200,ROSEMEAD,CA,91770,0,CT,1,SF SUPERMARKET,3212 N JUPITER RD STE 201,GARLAND,TX,75044,57.0,445110.0,Y,04/09/2013,05/01/2013,1239,32.947134717315,-96.682596194558,Match,Exact
32054695377,"ASCENSION CC, LLC",16400 DALLAS PKWY STE 100,DALLAS,TX,75248,57,CL,1,ASCENSION COFFEE,200 CRESCENT CT STE 40,DALLAS,TX,75201,57.0,445299.0,Y,10/07/2015,10/15/2015,1240,32.794227352207,-96.803619761823,Match,Exact
32054468312,"JAPAN INVESTMENT, INC.",616 PINE VLY,RICHARDSON,TX,75081,57,CT,1,CITY STAR 1,1036 N COUNTRY CLUB RD,GARLAND,TX,75040,57.0,445120.0,Y,08/11/2014,10/15/2014,1241,32.921629905429,-96.613668757534,Match,Exact
32053299056,GS DALLAS WEST LLC,3020 COMMUNICATIONS PKWY STE 100,PLANO,TX,75093,43,CL,19,SUBWAY #65474,4122 LYNDON B JOHNSON FWY,DALLAS,TX,75244,57.0,445299.0,Y,05/19/2015,06/20/2015,1242,,,No_Match,
17606039679,"RANDALL'S BEVERAGE COMPANY, INC.",PO BOX 29096,PHOENIX,AZ,85038,0,CT,178,TOM THUMB #1784,1501 PIONEER RD,MESQUITE,TX,75149,57.0,445110.0,Y,06/21/2011,06/13/2011,1243,32.747138831911,-96.583578496869,Match,Exact
32072615464,CFM2 INC,4460 W WALNUT ST STE 108,GARLAND,TX,75042,57,CT,1,CORNER FOOD MART,4460 W WALNUT ST STE 108,GARLAND,TX,75042,57.0,445120.0,Y,12/30/2020,01/01/2021,1244,32.916497340274,-96.699744432793,Match,Exact
32094921866,AMPARO MORALES,13627 GROVETREE LN,DALLAS,TX,75253,57,IS,1,LONE STAR DONUTS & TACOS,1727 N BECKLEY AVE,DALLAS,TX,75203,57.0,445291.0,Y,03/31/2025,03/18/2024,1245,32.765362170105,-96.822925712647,Match,Exact
32089735263,SUPER MERCADO NUEVO LEON LLC,4510 LAS HACIENDAS DR,DALLAS,TX,75211,57,CL,1,SUPER MERCADO NUEVO LEON,10828 DENNIS RD,DALLAS,TX,75229,57.0,445110.0,Y,01/27/2024,02/01/2024,1246,32.895722788524,-96.881334410942,Match,Exact
32072662243,STAR LIQUOR 2 INC,3637 CURBSTONE WAY,PLANO,TX,75074,43,CT,1,FLAMINGO LIQUORS,4125 FAIRMOUNT ST,DALLAS,TX,75219,57.0,445310.0,Y,01/10/2020,02/15/2020,1247,32.80746951628,-96.81616504141,Match,Exact
32061671833,"LE CAVEAU, LLC",4422 SYCAMORE ST APT 6,DALLAS,TX,75204,57,CL,2,"LE CAVEAU, LLC",718 N BUCKNER BLVD STE 332,DALLAS,TX,75218,57.0,445310.0,Y,12/01/2023,11/01/2023,1248,32.8450906024,-96.711518057485,Match,Non_Exact
32085657610,Y&L LLC,5535 S CENTRAL EXPY,DALLAS,TX,75215,57,CL,1,Y&L BEER WINE GROCERIES,5535 S CENTRAL EXPY,DALLAS,TX,75215,57.0,445120.0,Y,08/11/2022,08/11/2022,1249,32.744159012111,-96.758010800714,Match,Exact
