GRANTEE_NAME,STORE_NAME,ADDITONAL_ADDRESS,LATITUDE,OBJECTID,CITY,STORE_STREET_ADDRESS,ZIP4,COUNTY,INCENTIVE_PROGRAM,Y,ZIP_CODE,RECORD_ID,STATE,STORE_TYPE,Ï»¿X,LONGITUDE
,Family Dollar 8746,,32.647312,65494,DUNCANVILLE,780 E WHEATLAND RD,4931,DALLAS,,3848583.55515479,75116,1015317.0,TX,Discount Retail,-10785952.6285326,-96.891861
,Allsups 316,,32.976276,65509,SACHSE,5920 HIGHWAY 78,3130,DALLAS,,3892155.42239176,75048,1015409.0,TX,Convenience Store,-10752930.9261032,-96.595222
,Circle K 2742108,,32.632397,65534,DUNCANVILLE,1502 S CLARK RD,3602,DALLAS,,3846611.84785375,75137,851846.0,TX,Convenience Store,-10791649.7374325,-96.943039
,Octo Fuel #1,,32.815388,65606,DALLAS,7014 N STEMMONS FWY,5110,DALLAS,,3870825.36694231,75247,1657976.0,TX,Convenience Store,-10783086.2629642,-96.866112
,7-Eleven 26151,,32.720024,65801,DALLAS,1410 E ILLINOIS AVE,2125,DALLAS,,3858200.52424422,75216,1013291.0,TX,Convenience Store,-10776200.1505832,-96.804253
,EL CENTRO SUPERMARKET,,32.871887,65901,DALLAS,8231 PARK LN,6022,DALLAS,,3878311.42543526,75231,852732.0,TX,Grocery Store,-10771630.8194446,-96.763206
,La Michoacana Meat Market 28,,32.81189,66104,DALLAS,2432 N FITZHUGH,    ,DALLAS,,3870362.04216282,75204,833399.0,TX,Other,-10773814.462576,-96.782822
,Walgreens 09323,,32.648232,66157,SEAGOVILLE,610 E MALLOY BRIDGE RD,3540,DALLAS,,3848705.18648518,75159,833639.0,TX,Pharmacy,-10745886.8513648,-96.531944
,CVS PHARMACY INC 7156,,32.977551,66197,RICHARDSON,605 W CAMPBELL RD,3302,DALLAS,,3892324.61305861,75080,821363.0,TX,Pharmacy,-10769167.8757108,-96.741081
,CVS PHARMACY INC 7196,,32.961292,66212,CARROLLTON,4100 STATE HWY 212,    ,DALLAS,,3890167.25013789,75006,821369.0,TX,Pharmacy,-10785765.7231076,-96.890182
,Family Dollar 5441,,32.879501,66298,DALLAS,9711 PLANO RD,2372,DALLAS,,3879320.63706564,75238,836003.0,TX,Discount Retail,-10764658.9910557,-96.700577
,Dollar Tree 3183,,32.765842,66368,DALLAS,4430 DFW TPKE,1379,DALLAS,,3864264.49038478,75211,820214.0,TX,Discount Retail,-10786629.5623562,-96.897942
,LA MICHOACANA MEAT MARKET,,32.709618,66382,GRAND PRAIRIE,202 W PIONEER PKWY,4945,DALLAS,,3856823.73491529,75051,834503.0,TX,Supermarket,-10798595.2944215,-97.005432
,CVS PHARMACY INC 7288,SUITE 218,32.908443,66485,DALLAS,11661 PRESTON ROAD,    ,DALLAS,,3883157.59906506,75230,821536.0,TX,Pharmacy,-10776351.3224517,-96.805611
,CVS PHARMACY INC 7412,Ste 310,32.850414,66660,DALLAS,5370 W LOVERS LN,4383,DALLAS,,3875465.71391131,75209,821598.0,TX,Pharmacy,-10777837.5489733,-96.818962
,WALGREENS 04418,,32.977074,66878,COPPELL,313 N DENTON TAP RD,2914,DALLAS,,3892261.31555842,75019,822717.0,TX,Pharmacy,-10797294.1922131,-96.993744
,Sprouts Farmers Market 113,,32.592899,67347,CEDAR HILL,362 E FM 1382,6024,DALLAS,,3841391.94658899,75104,917801.0,TX,Supermarket,-10791083.2325438,-96.93795
,CVS/ PHARMACY INC 8342,,32.589916,67496,DESOTO,1305 W BELT LINE RD,3627,DALLAS,,3840997.81844451,75115,749033.0,TX,Pharmacy,-10785971.3302071,-96.892029
,Walgreens 05826,,32.950703,67560,DALLAS,7930 BELT LINE RD,8130,DALLAS,,3888762.43770786,75254,750497.0,TX,Pharmacy,-10772373.2091287,-96.769875
